task,category,tdc_dataset,endpoint_definition,prediction_type,label_or_unit,primary_source,source_note,known_noise_or_quality_limit,applicability_domain_limit,source_url,n_total,n_train,n_valid,n_test,n_unique_smiles,positive_n,positive_prevalence,label_min,label_max,split_protocol
cyp2c9_veith,Metabolism,CYP2C9_Veith,CYP2C9 inhibition,binary classification,binary inhibitor label,Veith et al. 2009,High-throughput CYP inhibition profiling,Thresholded assay labels and screening artifacts limit mechanistic interpretation,Applicable to assay-defined inhibition rather than in vivo metabolism,https://tdcommons.ai/single_pred_tasks/adme/,12090,8462,1209,2419,12090,4043,0.33440860215053764,0.0,1.0,frozen TDC ADMET scaffold split
cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6_Substrate_CarbonMangels,CYP2D6 substrate status,binary classification,binary substrate label,Carbon-Mangels and Hutter 2011; admetSAR,Merged substrate and non-substrate information from multiple publications,Merged sources can use different substrate evidence and thresholds,CYP isoform overlap means cross-task molecular overlap must be filtered for transfer models,https://tdcommons.ai/single_pred_tasks/adme/,667,465,67,135,664,191,0.2863568215892054,0.0,1.0,frozen TDC ADMET scaffold split
cyp2d6_veith,Metabolism,CYP2D6_Veith,CYP2D6 inhibition,binary classification,binary inhibitor label,Veith et al. 2009,High-throughput CYP inhibition profiling,Thresholded assay labels and screening artifacts limit mechanistic interpretation,Applicable to assay-defined inhibition rather than in vivo metabolism,https://tdcommons.ai/single_pred_tasks/adme/,13126,9187,1313,2626,13126,2514,0.19152826451317995,0.0,1.0,frozen TDC ADMET scaffold split
cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4_Substrate_CarbonMangels,CYP3A4 substrate status,binary classification,binary substrate label,Carbon-Mangels and Hutter 2011; admetSAR,Merged substrate and non-substrate information from multiple publications,Merged sources can use different substrate evidence and thresholds,CYP isoform overlap means cross-task molecular overlap must be filtered for transfer models,https://tdcommons.ai/single_pred_tasks/adme/,670,468,67,135,667,355,0.5298507462686567,0.0,1.0,frozen TDC ADMET scaffold split
cyp3a4_veith,Metabolism,CYP3A4_Veith,CYP3A4 inhibition,binary classification,binary inhibitor label,Veith et al. 2009,High-throughput CYP inhibition profiling,Thresholded assay labels and screening artifacts limit mechanistic interpretation,Applicable to assay-defined inhibition rather than in vivo metabolism,https://tdcommons.ai/single_pred_tasks/adme/,12326,8626,1233,2467,12326,5110,0.414570825896479,0.0,1.0,frozen TDC ADMET scaffold split
clearance_hepatocyte_az,Excretion,Clearance_Hepatocyte_AZ,Human hepatocyte intrinsic clearance,regression,uL/min/10^6 cells,AstraZeneca 2016; ChEMBL,AstraZeneca-deposited hepatocyte clearance measurements,Cell preparation donor and protocol affect intrinsic clearance,Cross-assay transfer requires target-test identity exclusion,https://tdcommons.ai/single_pred_tasks/adme/,1213,848,122,243,1020,,,3.0,150.0,frozen TDC ADMET scaffold split
clearance_microsome_az,Excretion,Clearance_Microsome_AZ,Human liver microsome intrinsic clearance,regression,uL/min/mg protein,AstraZeneca 2016; ChEMBL,AstraZeneca-deposited microsome clearance measurements,Microsome and hepatocyte measurements are not interchangeable,Cross-assay transfer requires target-test identity exclusion,https://tdcommons.ai/single_pred_tasks/adme/,1102,770,111,221,1102,,,3.0,150.0,frozen TDC ADMET scaffold split
half_life_obach,Excretion,Half_Life_Obach,Human elimination half-life,regression,hours,Obach et al. 2008,Clinical pharmacokinetic compilation,Half-life reflects clearance distribution dosing and study context,Does not transfer directly to unrepresented populations or dosing regimens,https://tdcommons.ai/single_pred_tasks/adme/,667,465,67,135,665,,,0.065,1200.0,frozen TDC ADMET scaffold split
ames,Toxicity,AMES,Bacterial reverse-mutation activity,binary classification,binary mutagenicity label,Xu et al. 2012,Aggregated Ames labels from four publications,Strain metabolic activation and protocol differences can affect labels,Bacterial mutagenicity does not represent all genotoxicity or human toxicity,https://tdcommons.ai/single_pred_tasks/tox/,7278,4684,1137,1457,7255,3974,0.5460291288815609,0.0,1.0,frozen TDC ADMET scaffold split
dili,Toxicity,DILI,Drug-induced liver injury,binary classification,binary DILI label,Xu et al. 2015; US FDA NCTR,FDA NCTR-derived DILI collection,Clinical causality and exposure context are heterogeneous,Small benchmark does not represent the full mechanistic spectrum of liver injury,https://tdcommons.ai/single_pred_tasks/tox/,475,331,48,96,475,236,0.4968421052631579,0.0,1.0,frozen TDC ADMET scaffold split
herg,Toxicity,hERG,hERG channel blockade,binary classification,binary blocker label,Wang et al. 2016,Curated hERG blocker collection,Assay platform thresholds and temperature can alter hERG measurements,Blockade labels do not directly quantify clinical arrhythmia risk,https://tdcommons.ai/single_pred_tasks/tox/,655,457,66,132,648,451,0.6885496183206107,0.0,1.0,frozen TDC ADMET scaffold split
ld50_zhu,Toxicity,LD50_Zhu,Rat acute oral toxicity,regression,TDC transformed LD50 label,Zhu et al. 2009,Rat oral acute-toxicity compilation,Species route and protocol variability limit direct comparability,Rat acute oral toxicity is not a general human-toxicity endpoint,https://tdcommons.ai/single_pred_tasks/tox/,7385,3970,1937,1478,7342,,,-0.3429999999999999,10.207,frozen TDC ADMET scaffold split
